Gene symbol,Category,Mouse ortholog,Zebrafish orthologs,D. melanogaster orthologs,C. elegans orthologs,Immunolocalisation evidence***,Antibodies,C. elegans protein tagging studies,BM Interactors,Cell surface Interactors,BM substrate,"Subcellular localization (UNIPROT, Human Protein Atlas)",Matrixome 
EVA1A,Cell surface interactor,Eva1a,eva1a,-,eva-1,Human Protein Atlas (H),"HPA, rabbit α-EVA1A pAb (Atlas Antibodies, HPA008055) ",EVA-1,"AMELX,AMTN,CST3,FBN1,FN1,LAMB1,LAMB2,LAMC1,SPARCL1,TIMP1,TNC,VCAN,VWA1","ADAM10,GPC3",-,"Membrane, Endoplasmic reticulum, Lysosome, Nuclear",No
EVA1B,Cell surface interactor,Eva1b,"ena1ba,ev1bb",-,eva-1,Human Protein Atlas (H),"HPA, rabbit α-EVA1B pAb (Atlas Antibodies, HPA041928)",EVA-1,-,-,-,"Membrane, Cytoplasm",No
EVA1C,Cell surface interactor,Eva1c,eva1c,CG42402,eva-1,Human Protein Atlas (H),"HPA, rabbit α-EVA1C msAb (Santa Cruz Biotechnology, sc-83564)",EVA-1,-,MPZL2,-,"Membrane, Cytoplasm",No
GPC1,Cell surface interactor,Gpc1,"gpc1a,gpc1b",dlp,"lon-2,gpn-1",PMID: 14627628 (M),"PMID: 14627628, α-glypican 1, in-house (PMID: 8905294)",LON-2,"AGRN,BCAN,BGN,COL18A1,DCN,HSPG2,LAMA1,SLIT2,TGFB1,VCAN","CSPG4,GPC2,GPC3,GPC4,GPC5,GPC6,SDC1,SDC4",-,"Cell membrane, Endosome, Membrane, Secreted",No
GPC2,Cell surface interactor,Gpc2,gpc2,dlp,gpn-1,Human Protein Atlas (H),"HPA, mouse α-GPC2 mAb (R&D Systems, MAB2304)",-,"AGRN,BCAN,BGN,DCN,HSPG2,VCAN","CSPG4,GPC1,GPC3,GPC4,GPC5,GPC6,SDC1,SDC4",-,"Cell membrane, Membrane, Secreted, Cytoplasm",No
GPC3,Cell surface interactor,Gpc3,gpc3,dally,gpn-1,PMID: 17117158 (Rt),"PMID: 17117158, α-human Gpc3 pAb (R&D Systems, AF2119)",-,"AGRN,AMELX,AMTN,BCAN,BGN,CST3,DCN,FBN1,FN1,HSPG2,LAMB1,LAMB2,LAMC1,SPARCL1,TIMP1,TNC,VCAN,VWA1","ADAM10,CSPG4,EVA1A,GPC1,GPC2,GPC4,GPC5,GPC6,SDC1,SDC4",-,"Cell membrane, Membrane",No
GPC4,Cell surface interactor,Gpc4,gpc4,dlp,gpn-1,-,-,-,"AGRN,BCAN,BGN,COL15A1,COL18A1,DCN,HSPG2,VCAN","CSPG4,GPC1,GPC2,GPC3,GPC5,GPC6,SDC1,SDC4",-,"Cell membrane, Membrane, Secreted, Cytoplasm",No
GPC5,Cell surface interactor,Gpc5,"gpc5a,gpc5b",dally,gpn-1,-,-,-,"AGRN,BCAN,BGN,DCN,HSPG2,VCAN","CSPG4,GPC1,GPC2,GPC3,GPC4,GPC6,SDC1,SDC4",-,"Cell membrane, Membrane, Secreted, Cytoplasm",No
GPC6,Cell surface interactor,Gpc6,"gpc6a,gpc6b",dlp,gpn-1,-,-,-,"AGRN,BCAN,BGN,DCN,HSPG2,VCAN","CSPG4,GPC1,GPC2,GPC3,GPC4,GPC5,SDC1,SDC4",-,"Cell membrane, Membrane, Secreted, Cytoplasm",No
ITGA1,Cell surface interactor,Itga1,itga1,if,-,"PMID: 23236390 (M)
PMID: 20091789 (M)
PMID: 10531072 (H)","PMID: 23236390, α-Itgα1 mAb - clone Ha31/8 (BD Pharmingen, 555001) / clone HMB1-1 (Santa Cruz, sc-19656)
PMID: 20091789, α-Itgα1 mAb - clone Ha31/8 (BD Pharmingen, 555001)
PMID: 10531072, α-Itgα1 clone mouse TS2/7 in-house (Biorad, MCA1133G; PMID: 6327814)",-,"AGRN,COL2A1,COL4A1,COL4A2,COL4A3,COL4A4,COL4A5,COL4A6,COL5A1,COL6A1,COL6A2,COL6A3,COL9A1,COL9A2,COL9A3,LAMA1,LAMA2,LAMA3,LAMA4,LAMA5,LAMB1,LAMB2,LAMB3,LAMC1,LAMC2,LAMC3,THBS1,THBS2,THBS4,VTN","COL13A1,DAG1,ITGA10,ITGA2,ITGA3,ITGA4,ITGA5,ITGA8,ITGA9,ITGAM,ITGAV,ITGAX,ITGB1,ITGB2,ITGB3,ITGB4,ITGB5,ITGB6,ITGB7,ITGB8",-,"Membrane, Cytoplasm",No
ITGA2,Cell surface interactor,Itga2,itga2.L,if,-,"PMID: 20860797 (M)
PMID: 7545357 (H)
PMID: 8376596 (H)
PMID: 21652699 (M)","PMID: 20860797, rabbit α-mouse Itgα2 (Abcam)
PMID: 7545357, α-Itgα2 mAb - clone P1E6 (Chemicon, MAB1950)
PMID: 8376596, α-Itgα2 mAb - clone 12F1 (BD Pharmingen, 555668)
PMID: 21652699, α-Itgα2 mAb - clone Ha1/29 (BD Pharmingen, 554998)",-,"AGRN,COL2A1,COL4A1,COL4A2,COL4A3,COL4A4,COL4A5,COL4A6,COL6A1,COL6A2,COL6A3,COL7A1,COL9A1,COL9A2,COL9A3,FN1,HSPG2,LAMA1,LAMA2,LAMA3,LAMA4,LAMA5,LAMB1,LAMB2,LAMB3,LAMC1,LAMC2,LAMC3,LUM,THBS1,THBS2,THBS4,TNC,VTN","ITGA1,ITGA10,ITGA3,ITGA4,ITGA5,ITGA8,ITGA9,ITGAM,ITGAV,ITGAX,ITGB1,ITGB2,ITGB3,ITGB4,ITGB5,ITGB6,ITGB7,ITGB8,SDC1",-,Membrane,No
ITGA2B,Cell surface interactor,Itga2b,itga2b,if,pat-2,-,-,PAT-2,"COL2A1,FN1,THBS1,VTN","ITGAV,ITGB1,ITGB2,ITGB3,ITGB4,ITGB5,ITGB6,ITGB7,ITGB8",-,"Membrane, Cytoplasm",No
ITGA3,Cell surface interactor,Itga3,"itga3a,itga3b",mew,ina-1,"PMID: 25915046 (H)
PMID: 7545357 (H)
PMID: 9632739 (H)
PMID: 19828126 (H)
PMID: 11788196 (M)
PMID: 15361695 (Rt)
PMID: 31249312 (H)","PMID 25915046, α-Itgα3 mAb (Chemicon, AB1920)
PMID: 7545357, α-Itgα3 mAb - clone P1B5 (Chemicon, MAB1952Z)
PMID: 9632739, α-Itgα3 mAb - clone P1B5 (Chemicon, MAB1952Z)
PMID: 19828126, α-Itgα3 mAb - clone M-KID2 (Chemicon, MAB1992)
PMID: 11788196,  α-Itgα3 rb pAb, in-house 
PMID: 15361695, α-human Itgα3 rb pAb, in-house
PMID: 31249312, rabbit α-ITGA3 pAb (Atlas Antibodies, HPA008572)",INA-1,"AGRN,COL18A1,COL4A1,COL4A2,COL4A3,COL4A4,COL4A5,COL4A6,COL6A1,COL6A2,FN1,LAMA1,LAMA2,LAMA3,LAMA4,LAMA5,LAMB1,LAMB2,LAMB3,LAMC1,LAMC2,LAMC3,NID1,TGFBI,THBS1,THBS2,VTN","CD151,CSPG4,ITGA1,ITGA10,ITGA2,ITGA4,ITGA5,ITGA6,ITGA8,ITGA9,ITGAM,ITGAV,ITGAX,ITGB1,ITGB2,ITGB3,ITGB4,ITGB5,ITGB6,ITGB7,ITGB8",-,"Membrane, Cell junction, Cell membrane, Cell projection, Cytoplasm",No
ITGA4,Cell surface interactor,Itga4,itga4,itgaPS4,-,PMID: 9632739 (H),"PMID: 9632739, α-Itgα4 mAb - clone P4G9 (Chemicon, MAB1954)",-,"COL4A2,COL6A1,COL6A3,FN1,LAMA1,LAMA2,LAMA3,LAMA4,LAMA5,LAMC1,LAMC2,THBS1,THBS2,VTN","CD44,CSPG4,ITGA1,ITGA10,ITGA2,ITGA3,ITGA5,ITGA8,ITGA9,ITGAM,ITGAV,ITGAX,ITGB1,ITGB2,ITGB3,ITGB4,ITGB5,ITGB6,ITGB7,ITGB8",-,"Membrane, Cytoplasm",No
ITGA5,Cell surface interactor,Itga5,itga5,if,pat-2,"PMID: 11416044 (M)
PMID: 12828918 (B)
PMID: 15805270 (M)
PMID: 8376596 (H)
PMID: 31249312 (H)","PMID: 11416044, rb α-Itgα5 Cys-23mer pAb, in-house (PMID: 2663881)
PMID: 12828918, α-Itgα5 pAb (Chemicon, AB1928)
PMID: 15805270, α-Itgα5 mAb - clone 5H10-27 (MFR5), BD Pharmingen, 553319)
PMID: 8376596, α-Itgα5 mAb - clone BIIG2, in-house (PMID: 2547805)
PMID: 31249312, rabbit α-ITGA3 pAb (Atlas Antibodies, HPA002642)",PAT-2,"AGRN,COL18A1,COL4A1,COL4A2,COL6A1,COL6A2,COL6A3,FBN1,FBN2,FBN3,FN1,LAMA1,LAMA2,LAMA3,LAMA4,LAMA5,LAMB1,LAMB3,LAMC1,LAMC2,LAMC3,THBS1,THBS2,TNC,VTN","ITGA1,ITGA10,ITGA2,ITGA3,ITGA4,ITGA8,ITGA9,ITGAM,ITGAV,ITGAX,ITGB1,ITGB2,ITGB3,ITGB4,ITGB5,ITGB6,ITGB7,ITGB8",-,"Cell junction, Membrane",No
ITGA6,Cell surface interactor,Itga6,"itga6a,itga6b",mew,ina-1,"PMID: 25915046 (H)
PMID: 29946113 (H)
PMID: 26355035 (M)
PMID: 8376596 (H)
PMID: 9632739 (H)
PMID: 17880691 (M)
PMID: 20336083 (M)
PMID: 31249312 (H)","PMID 25915046, mouse α-Itgα6 mAb (Chemicon)
PMID: 29946113, α-Itgα6 mAb - clone EPR18124 (Abcam, ab181551)
PMID: 26355035, α-Itgα6 mAb - clone GoH3 (Abcam, ab105669)
PMID: 8376596, α-Itgα6 mAb - clone GoH3 (Abcam, ab105669)
PMID: 9632739, α-Itgα6 mAb - clone GoH3 (Abcam, ab105669)
PMID: 17880691, alpha-6 integrin antibody (BD Pharmingen)
PMID: 20336083, α-Itgα6 mAb - clone GoH3 (GeneTex, GTX76413)
PMID: 31249312, rabbit α-ITGA6 pAb (Atlas Antibodies, HPA012696)",INA-1,"AGRN,COL17A1,COL4A1,COL4A2,COL6A1,LAMA1,LAMA2,LAMA3,LAMA4,LAMA5,LAMB1,LAMB2,LAMB3,LAMC1,LAMC2,LAMC3,THBS1,THBS2,VTN","CD151,CD44,ITGA3,ITGB1,ITGB2,ITGB3,ITGB4,ITGB5,ITGB6,ITGB7,ITGB8,SDC1",-,"Cell membrane, Membrane, Cytoplasm",No
ITGA7,Cell surface interactor,Itga7,itga7,mew,ina-1,"PMID: 26355035 (M)
PMID: 16476707 (M)
PMID: 11784026 (M)
Human Protein Atlas (H)","PMID: 26355035, α-Itgα7B pAb - clone U31, in-house 
PMID: 16476707, α-Itgα7B pAb - clone U31, in-house 
PMID: 11784026, α-Itgα7 mAb - clone CA5, in-house
HPA, Rabbit ɑ-ITGA7 pAb (Atlas Antibodies, HPA008427)",INA-1,"AGRN,COL4A1,COL4A2,COL6A1,COL6A2,COL6A3,COL9A3,LAMA1,LAMA2,LAMA3,LAMA4,LAMA5,LAMB1,LAMB2,LAMC1,THBS2,TNC,VTN","ITGB1,ITGB2,ITGB3,ITGB4,ITGB5,ITGB6,ITGB7,ITGB8",-,"Membrane, Cytoplasm",No
ITGA8,Cell surface interactor,Itga8,itga8,if,pat-2,"PMID: 29759420 (M)
PMID: 11470831 (M)
PMID: 9054500 (M)
PMID: 1714374 (C)
PMID: 31249312 (H)
Human Protein Atlas (H)","PMID: 29759420, α-Itgα8 pAb (R&D Systems, AF4076)
PMID: 11470831, α-Itgα8 - Antiserum 1526, in-house
PMID: 9054500, α-Itgα8 - Antiserum 1526, in-house
PMID: 1714374, α-Itgα8 - peptide antisera, in-house
PMID: 31249312, Rabbit ɑ-ITGA8 pAb (Atlas Antibodies, HPA003432)
HPA, Rabbit ɑ-ITGA8 pAb (Atlas Antibodies, HPA003432)",PAT-2,"AGRN,COL4A1,COL4A2,COL6A1,COL6A2,COL6A3,FN1,LAMA1,LAMA2,LAMA3,LAMA4,LAMA5,LAMB4,LAMC1,NPNT,TGFB1,THBS2,TNC,VTN","ITGA1,ITGA10,ITGA2,ITGA3,ITGA4,ITGA5,ITGA9,ITGAM,ITGAV,ITGAX,ITGB1,ITGB2,ITGB3,ITGB4,ITGB5,ITGB6,ITGB7,ITGB8",-,"Cell membrane, Membrane, Cytoplasm",No
ITGA9,Cell surface interactor,Itga9,itga9,itgaPS5,-,-,-,-,"AGRN,COL6A2,FN1,LAMA1,LAMA2,LAMA3,LAMA5,LAMC1,THBS1,THBS2,THBS4,TNC,VTN","ITGA1,ITGA10,ITGA2,ITGA3,ITGA4,ITGA5,ITGA8,ITGAM,ITGAV,ITGAX,ITGB1,ITGB2,ITGB3,ITGB4,ITGB5,ITGB6,ITGB7,ITGB8",-,"Membrane, Cytoplasm",No
ITGA10,Cell surface interactor,Itga10,itga10,if,-,-,-,-,"COL2A1,COL4A2,COL4A4,COL9A1,COL9A2,COL9A3,LAMA1,LAMA2,LAMA3,LAMA5,LAMC1","ITGA1,ITGA2,ITGA3,ITGA4,ITGA5,ITGA8,ITGA9,ITGAM,ITGAV,ITGAX,ITGB1,ITGB2,ITGB3,ITGB4,ITGB5,ITGB6,ITGB7,ITGB8",-,Membrane,No
ITGAM,Cell surface interactor,Itgam,"si:dkey-32n7.4,itgam",if,-,-,-,-,"MMP2,SPON2,TGFBI","ADAM10,CD44,ITGA1,ITGA10,ITGA2,ITGA3,ITGA4,ITGA5,ITGA8,ITGA9,ITGAV,ITGAX,ITGB1,ITGB2,ITGB3,ITGB4,ITGB5,ITGB6,ITGB7,ITGB8",-,"Cell membrane, Membrane, Cytoplasm",No
ITGAV,Cell surface interactor,Itgav,itgav,if,pat-2,"PMID: 9632739 (H)
PMID: 12665557 (Rt)
PMID: 18467691 (M)
PMID: 15361695 (Rt)
PMID: 11788196 (M)
PMID: 31249312 (H)","PMID: 9632739,  α-ItgαV mAb - supernantant H5P10  
PMID: 12665557, α-ItgαV-C-terminus pAb (Chemicon, AB1930)
PMID: 1714374, α-ItgαV - peptide antisera, in-house
PMID: 15361695, α-ItgαV-C-terminus pAb (Chemicon, AB1930)
PMID: 11788196, α-ItgαV pAb (Chemicon, AB1930)
PMID: 31249312, mouse α-ItgαV mAb (Leica Biosystems, NCL-CD51)",PAT-2,"AGRN,COL18A1,COL2A1,COL4A1,COL4A2,COL4A3,COL4A4,COL4A5,COL4A6,COL5A1,COL6A1,COL6A2,COL6A3,COL7A1,FBN1,FBN2,FBN3,FN1,LAMA1,LAMA2,LAMA3,LAMA4,LAMA5,LAMB1,LAMB3,LAMC1,LAMC2,TGFB1,TGFBI,THBS1,THBS2,TNC,VTN","ADAM10,ITGA1,ITGA10,ITGA2,ITGA2B,ITGA3,ITGA4,ITGA5,ITGA8,ITGA9,ITGAM,ITGAX,ITGB1,ITGB2,ITGB3,ITGB4,ITGB5,ITGB6,ITGB7,ITGB8,SDC1,SDC4",-,"Cell junction, Cell membrane, Membrane, Cytoplasm",No
ITGAX,Cell surface interactor,Itgax,si:dkey-32n7.4,if,-,PMID: 19234202 (M),"PMID: 19234202, anti-CD11c antibody (Becton Dickinson)",-,TNC,"ADAM10,CD44,ITGA1,ITGA10,ITGA2,ITGA3,ITGA4,ITGA5,ITGA8,ITGA9,ITGAM,ITGAV,ITGB1,ITGB2,ITGB3,ITGB4,ITGB5,ITGB6,ITGB7,ITGB8",-,"Membrane, Cytoplasm",No
ITGB1,Cell surface interactor,Itgb1,"itgb1a,itgb1b",mys,pat-3,"PMID: 25915046 (H)
PMID: 7545357 (H)
PMID: 25395457 (M)
PMID: 19828126 (H)
PMID: 8465988 (H)
PMID: 24137544 (M)
PMID: 31249312 (H)","PMID 25915046,  α-Itgβ1 mAb (Chemicon, MAB1959Z)
PMID: 7545357, α-Itgβ1 mAb - clone mAb13 (Sigma-Aldrich, MABT821)
PMID: 25395457, α-Itgβ1 mAb - clone MB1.2 (Chemicon , MAB1997)
PMID: 19828126, α-Itgβ1 mAb - clone M-KID2 (Chemicon, MAB1992)
PMID: 8465988, α-Itgβ1 mAb - clone mAb13 (Sigma-Aldrich, MABT821)
PMID 24137544, α-Itgβ1 - clone 9EG7 (BD Pharmingen, 553715)
PMID: 31249312, rabbit α-ITGB1 pAb (Atlas Antibodies, HPA059297)",PAT-3,"AGRN,COL18A1,COL2A1,COL4A1,COL4A2,COL4A3,COL4A4,COL4A5,COL4A6,COL5A1,COL6A1,COL6A2,COL6A3,COL7A1,COL9A1,COL9A2,COL9A3,FBN1,FBN2,FBN3,FN1,HSPG2,LAMA1,LAMA2,LAMA3,LAMA4,LAMA5,LAMB1,LAMB2,LAMB3,LAMC1,LAMC2,LAMC3,LUM,NID1,NPNT,TGFB1,TGFBI,THBS1,THBS2,TNC,VTN","CD44,COL13A1,CSPG4,DAG1,ITGA1,ITGA10,ITGA2,ITGA2B,ITGA3,ITGA4,ITGA5,ITGA6,ITGA7,ITGA8,ITGA9,ITGAM,ITGAV,ITGAX,ITGB2,ITGB3,ITGB4,ITGB5,ITGB6,ITGB7,ITGB8,SDC1",-,"Membrane, Cell junction, Cell membrane, Cell projection, Endosome",No
ITGB2,Cell surface interactor,Itgb2,itgb2,mys,pat-3,-,-,PAT-3,"MMP2,SPON2,TGFBI","ADAM10,ITGA1,ITGA10,ITGA2,ITGA2B,ITGA3,ITGA4,ITGA5,ITGA6,ITGA7,ITGA8,ITGA9,ITGAM,ITGAV,ITGAX,ITGB1,ITGB3,ITGB4,ITGB5,ITGB6,ITGB7,ITGB8",-,"Cell membrane, Membrane, Cytoplasm",No
ITGB3,Cell surface interactor,Itgb3,"itgb3a,itgb3b",mys,pat-3,"PMID: 8376596 (H)
PMID: 8738408 (H)","PMID: 8376596, α-Itgβ3 mAb - clone 9OBBlOB7, in-house
PMID: 8738408, α-Itgβ3 mAb, in-house",PAT-3,"COL18A1,COL2A1,COL4A1,COL4A2,COL4A3,COL4A4,COL4A5,COL4A6,COL5A1,COL6A1,COL6A2,COL6A3,COL7A1,FBN1,FBN2,FBN3,FN1,LAMA1,LAMA2,LAMA3,LAMA4,LAMA5,LAMB1,LAMC1,TGFB1,TGFBI,THBS1,TNC,VTN","ITGA1,ITGA10,ITGA2,ITGA2B,ITGA3,ITGA4,ITGA5,ITGA6,ITGA7,ITGA8,ITGA9,ITGAM,ITGAV,ITGAX,ITGB1,ITGB2,ITGB4,ITGB5,ITGB6,ITGB7,ITGB8,SDC1,SDC4",-,"Cell junction, Cell membrane, Cell projection, Membrane, Postsynaptic cell membrane, Synapse, Cytoplasm",No
ITGB4,Cell surface interactor,Itgb4,itgb4,itgbn,C05D9.3,"PMID: 25915046 (H)
PMID: 7545357 (H)
PMID: 9632739 (H)
PMID: 8376596 (H)
PMID: 29946113 (H)","PMID 25915046, mouse α-Itgβ4 mAb (Chemicon)
PMID: 7545357, α-Itgβ4 mAb - clone 3E1 (Chemicon, MAB1964)
PMID: 9632739, α-Itgβ4 mAb - clone 3E1 (Chemicon, MAB1964)
PMID: 8376596, α-Itgβ4 mAb - clone 345-11A
PMID: 29946113, α-Itgβ4 mAb - clone EPR17517 (Abcam, ab182120)",-,"COL17A1,COL4A2,COL4A3,COL4A4,COL4A5,COL6A1,COL6A3,LAMA1,LAMA2,LAMA3,LAMA4,LAMA5,LAMB1,LAMB2,LAMB3,LAMB4,LAMC1,LAMC2,THBS1","CD151,ITGA1,ITGA10,ITGA2,ITGA2B,ITGA3,ITGA4,ITGA5,ITGA6,ITGA7,ITGA8,ITGA9,ITGAM,ITGAV,ITGAX,ITGB1,ITGB2,ITGB3,ITGB5,ITGB6,ITGB7,ITGB8,SDC1",-,"Membrane, Cell junction, Cell membrane, Cytoplasm",No
ITGB5,Cell surface interactor,Itgb5,itgb5,mys,pat-3,"PMID: 31249312 (H)
Human Protein Atlas (H)","PMID: 31249312, ɑ-ITGB5 rabbit pAb (Atlas Antibodies, HPA001820)
HPA, rabbit ɑ-ITGB5 pAb (Atlas Antibodies, HPA001820)",PAT-3,"COL18A1,COL4A1,COL4A2,COL6A1,COL6A2,COL6A3,LAMA1,LAMA2,LAMA3,LAMA4,LAMA5,LAMB1,LAMB3,LAMC1,LAMC2,TGFB1,THBS1,VTN","ITGA1,ITGA10,ITGA2,ITGA2B,ITGA3,ITGA4,ITGA5,ITGA6,ITGA7,ITGA8,ITGA9,ITGAM,ITGAV,ITGAX,ITGB1,ITGB2,ITGB3,ITGB4,ITGB6,ITGB7,ITGB8,SDC1",-,"Membrane, Cytoplasm",No
ITGB6,Cell surface interactor,Itgb6,itgb6,mys,pat-3,Human Protein Atlas (H),"HPA, rabbit ɑ-ITGB6 pAb (Atlas Antibodies, HPA023626)",PAT-3,"COL4A1,COL4A4,COL6A3,FBN1,FBN2,FBN3,FN1,LAMA1,LAMA2,LAMA3,LAMA4,LAMA5,LAMB1,LAMB3,LAMC1,LAMC2,TGFB1,TNC,VTN","ITGA1,ITGA10,ITGA2,ITGA2B,ITGA3,ITGA4,ITGA5,ITGA6,ITGA7,ITGA8,ITGA9,ITGAM,ITGAV,ITGAX,ITGB1,ITGB2,ITGB3,ITGB4,ITGB5,ITGB7,ITGB8",-,"Cell junction, Membrane, Cytoplasm",No
ITGB7,Cell surface interactor,Itgb7,itgb7,mys,pat-3,-,-,PAT-3,"FN1,LAMA1,LAMA2,LAMC1","ITGA1,ITGA10,ITGA2,ITGA2B,ITGA3,ITGA4,ITGA5,ITGA6,ITGA7,ITGA8,ITGA9,ITGAM,ITGAV,ITGAX,ITGB1,ITGB2,ITGB3,ITGB4,ITGB5,ITGB6,ITGB8",-,Membrane,No
ITGB8,Cell surface interactor,Itgb8,itgb8,Itgbn,-,"PMID: 31249312 (H)
Human Protein Atlas (H)","PMID: 31249312, rabbit α-ITGB8 pAb (Atlas Antibodies, HPA027797)
Human Protein Atlas, rabbit α-ITGB8 pAb (Atlas Antibodies, HPA027797)",-,"COL4A1,COL4A2,COL9A3,LAMA4,TGFB1,VTN","ITGA1,ITGA10,ITGA2,ITGA2B,ITGA3,ITGA4,ITGA5,ITGA6,ITGA7,ITGA8,ITGA9,ITGAM,ITGAV,ITGAX,ITGB1,ITGB2,ITGB3,ITGB4,ITGB5,ITGB6,ITGB7",-,"Cell membrane, Membrane",No
MEGF9,Cell surface interactor,Megf9,si:dkey-220k22.1,-,-,PMID: 16981854 (M),"PMID: 16981854, α-MEGF9 pAb rb - clone KR18,  gp - clone KG20, in-house ",-,-,-,-,"Membrane, Cytoplasm",No
MMP14,Cell surface interactor,Mmp14,"mmp14a,mmp14b",Mmp1,"zmp-1,zpm-2,zmp-3,zmp-4,zmp-5,zmp-6","PMID: 12950084 (M)
PMID: 32523119 (M)
PMID: 22688677 (M)
Human Protein Atlas (H)","PMID: 12950084, α-MMP14/MT1‐MMP pAb (Chemicon, AB8221) 
PMID: 32523119, α-MMP14 mAb - clone EP1264Y (Abcam, ab51074)
PMID: 22688677, α-MMP14/MT1‐MMP pAb  (R&D Systems, AF918SP)
HPA, Rabbit ɑ-MMP14 pAb (Santa Cruz Biotechnology, sc-30074)",ZMP-1,"ACAN,DCN,FN1,HSPG2,LAMA3,LAMA5,LAMB1,LAMB3,LAMC1,LAMC2,LUM,MMP17,MMP2,NID1,RECK,SPOCK3,TIMP1,TIMP2,TIMP3",CD44,"ACAN, collagen type II,  NID, FBN, FN1, laminin-111, laminin-332, LAMB3, proMMP2, SDC1, TGFB, VTN","Membrane, Cytoplasm",No
MPZL2,Cell surface interactor,Mpzl2,mpzl2b,-,-,Human Protein Atlas (H),"HPA, ɑ-MPZL2 rabbit pAb (Atlas Antibodies, HPA060740)",-,-,EVA1C,-,Membrane,No
MUSK,Cell surface interactor,Musk,musk,Nrk,-,-,-,-,"ACHE,AGRN,COLQ",-,-,"Membrane, Postsynaptic cell membrane, Cell junction, Cell membrane, Synapse, Intracellular",No
PTPRF,Cell surface interactor,Ptprf,"ptprfa,ptprfb",Lar,ptp-3,Human Protein Atlas (H),"HPA, Rabbit  ɑ-PTPRF pAb (Atlas Antibodies, HPA012710)",PTP-3,-,-,-,"Membrane, Cytoplasm",No
RPSA,Cell surface interactor,Rpsa,rpsa,sta,rps-0,-,-,-,"LAMA1,LAMA2,LAMA3,LAMA4,LAMA5,LAMB1,LAMB2,LAMB3,LAMC1,LAMC2,LAMC3",-,-,"Cell membrane, Cytoplasm, Membrane, Nucleus",No
ROBO1,Cell surface interactor,Robo1,robo1,robo1,sax-3,Human Protein Atlas (H),"HPA, Rabbit ɑ-ROBO1 pAb (Thermo Fisher Scientific, 40-5900)",SAX-3,"NTN1,SLIT1,SLIT2,SLIT3","DCC,ROBO2,ROBO3",-,"Cell membrane, Cell projection, Membrane, Cytoplasm",No
ROBO2,Cell surface interactor,Robo2,robo2,robo2,sax-3,"PMID: 22840396 (M)
Human Protein Atlas (H)","PMID: 22840396, α-Robo2 pAb (Thermo Fischer Scientific, PA5-47461)
HPA, Rabbit ɑ-ROBO2 pAb (Atlas Antibodies, HPA013371)",SAX-3,"NTN1,SLIT1,SLIT2,SLIT3",ROBO1,-,"Membrane, Cytoplasm",No
ROBO3,Cell surface interactor,Robo3,robo3,robo3,sax-3,-,-,SAX-3,"NTN1,SLIT1,SLIT2,SLIT3",ROBO1,-,Membrane,No
ROBO4,Cell surface interactor,Robo4,robo4,-,sax-3,-,-,SAX-3,"NTN1,SLIT1,SLIT2,SLIT3",-,-,Plasma Membrane,No
SDC1,Cell surface interactor,Sdc1,-,sdc,sdn-1,"PMID: 19427408 (M)
PMID: 24078687 (M)
Human Protein Atlas (H)","PMID: 19427408, α-SDC1 mAb - clone 281-2 (BD Biosciences, 553712)
PMID: 24078687, α-SDC1 mAb - clone 281-2 (BD Biosciences, 553712)
HPA, Rabbit ɑ-SDC1 pAb (Atlas Antibodies, HPA006185 and HPA067477)",SDN-1,"AGRN,BCAN,BGN,COL2A1,COL4A1,COL4A2,COL4A3,COL4A4,COL4A5,COL4A6,COL5A1,COL6A1,COL6A2,COL6A3,COL7A1,DCN,FN1,HSPG2,LAMA5,MMP1,MMP7,PTN,TGFB1,THBS1,TNC,VCAN,VTN","CD44,CSPG4,GPC1,GPC2,GPC3,GPC4,GPC5,GPC6,ITGA2,ITGA6,ITGAV,ITGB1,ITGB3,ITGB4,ITGB5,SDC4",-,"Membrane, Secreted, Cytoplasm",No
SDC4,Cell surface interactor,Sdc4,sdc4,sdc,sdn-1,Human Protein Atlas (H),"HPA, rabbit α-SDC4 pAb (Atlas Antibodies, HPA005716; Thermo Fisher Scientific, 36-3100)",SDN-1,"AGRN,BCAN,BGN,DCN,FN1,HSPG2,LAMA1,LAMA3,TGFB1,THBS1,TNC,VCAN,VTN","CSPG4,GPC1,GPC2,GPC3,GPC4,GPC5,GPC6,ITGAV,ITGB3,SDC1",-,"Membrane, Secreted, Cytoplasm",No
TENM1,Cell surface interactor,Tenm1,tenm1,ten-m,ten-1,PMID: 24154551 (M),"PMID: 24154551, α-TENM1 mAb (Abnova)",TEN-1,-,-,-,"Cell membrane, Cytoplasm, Cytoskeleton, Membrane, Nucleus",No
TENM2,Cell surface interactor,Tenm2,tenm2,ten-m,ten-1,"PMID: 11146505 (C)
Human Protein Atlas (H)","PMID: 11146505, α-TENM2 pAb, in-house 
HPA, Rabbit ɑ-TENM2 pAb (Atlas Antibodies, HPA038018 and HPA038420)",TEN-1,-,-,-,"Cell junction, Cell membrane, Cell projection, Endoplasmic reticulum, Golgi apparatus, Membrane, Nucleus, Postsynaptic cell membrane, Synapse, Synaptosome",No
TENM3,Cell surface interactor,Tenm3,tenm3,Ten-a,ten-1,Human Protein Atlas (H),"HPA, Rabbit ɑ-TENM3 pAb (Atlas Antibodies, HPA047043)",TEN-1,-,-,-,"Cell membrane, Cell projection, Membrane, Cytoplasm",No
